ID,Sex,Team,Age,Height,Weight,Medal
2699,M,India,30.0,,,Gold
2703,M,India,22.0,165.0,61.0,Gold
2715,M,France,17.0,180.0,69.0,Silver
2722,M,Iran,29.0,158.0,48.0,Silver
2723,M,France,30.0,,,Gold
2723,M,France,30.0,,,Gold
2735,M,Russia,41.0,168.0,72.0,Gold
2735,M,Russia,45.0,168.0,72.0,Bronze
2737,M,Soviet Union,22.0,,,Silver
2737,M,Soviet Union,22.0,,,Gold
2739,M,Croatia,26.0,200.0,110.0,Bronze
2750,F,Brazil,22.0,180.0,71.0,Silver
2755,M,Russia,29.0,175.0,80.0,Gold
2755,M,Russia,32.0,175.0,80.0,Bronze
2756,M,Greece,,,,Gold
2760,M,Nigeria,28.0,187.0,75.0,Bronze
2762,F,Russia,17.0,174.0,48.0,Gold
2769,F,Iran,18.0,185.0,57.0,Bronze
2785,M,Belgium,44.0,,,Silver
2785,M,Belgium,44.0,,,Gold
2785,M,Belgium,44.0,,,Gold
2786,F,Unified Team,19.0,176.0,54.0,Bronze
2792,M,France,23.0,168.0,68.0,Bronze
2794,M,Algeria,26.0,174.0,63.0,Bronze
2798,M,Great Britain,25.0,193.0,93.0,Bronze
2799,M,France,22.0,175.0,72.0,Silver
2800,M,Great Britain,40.0,162.0,68.0,Bronze
2800,M,Great Britain,44.0,162.0,68.0,Silver
2829,M,USFSA,18.0,,,Silver
2832,M,United States,24.0,188.0,95.0,Gold
2833,M,United States,21.0,185.0,86.0,Bronze
2849,F,Austria,34.0,163.0,53.0,Gold
2850,F,Australia,26.0,170.0,65.0,Gold
2861,M,Jamaica,20.0,178.0,,Silver
2863,M,United States,25.0,192.0,93.0,Gold
2864,M,India,25.0,172.0,,Gold
2864,M,India,30.0,172.0,,Gold
2864,M,India,34.0,172.0,,Gold
2869,M,United States,14.0,163.0,69.0,Bronze
2871,M,United States,32.0,,,Bronze
2874,M,United States,25.0,193.0,98.0,Gold
2874,M,United States,29.0,193.0,98.0,Bronze
2875,F,Australia,21.0,170.0,59.0,Bronze
2875,F,Australia,25.0,170.0,59.0,Silver
2875,F,Australia,29.0,170.0,59.0,Bronze
2877,F,Great Britain,26.0,177.0,72.0,Bronze
2880,M,Heira II,44.0,,,Gold
2882,M,Nykjbings paa Falster,30.0,,,Gold
2892,M,Trinidad and Tobago,23.0,180.0,73.0,Bronze
2894,M,Great Britain,54.0,180.0,71.0,Silver
2894,M,Great Britain,54.0,180.0,71.0,Gold
2909,M,Canada,27.0,,,Silver
2917,M,Italy,31.0,,,Gold
2929,F,United States,15.0,163.0,59.0,Gold
2930,F,Italy,34.0,167.0,60.0,Gold
2942,M,Sweden,31.0,170.0,63.0,Bronze
2965,F,Sweden,29.0,170.0,69.0,Bronze
2987,M,Soviet Union,20.0,178.0,83.0,Bronze
2987,M,Soviet Union,24.0,178.0,83.0,Gold
2988,M,Argentina,22.0,173.0,70.0,Silver
2989,M,Sweden,29.0,,,Silver
2996,M,Tornado,39.0,,,Silver
2998,M,Sweden,20.0,188.0,73.0,Bronze
2998,M,Sweden,28.0,188.0,73.0,Bronze
3006,M,Sweden,30.0,,,Bronze
3009,M,Elsie,31.0,,,Silver
3011,M,Sweden,28.0,182.0,70.0,Bronze
3012,M,Cameroon,20.0,180.0,80.0,Gold
3017,M,Brazil,25.0,182.0,74.0,Silver
3029,F,Spain,28.0,172.0,65.0,Bronze
3052,M,Russia,23.0,164.0,52.0,Bronze
3055,F,Nigeria,22.0,155.0,51.0,Silver
3069,M,Norway,22.0,190.0,82.0,Gold
3069,M,Norway,22.0,190.0,82.0,Silver
3069,M,Norway,26.0,190.0,82.0,Gold
3069,M,Norway,26.0,190.0,82.0,Gold
3069,M,Norway,30.0,190.0,82.0,Gold
3069,M,Norway,30.0,190.0,82.0,Gold
3070,F,Sweden,23.0,180.0,64.0,Silver
3070,F,Sweden,23.0,180.0,64.0,Silver
3070,F,Sweden,23.0,180.0,64.0,Bronze
3071,M,Soviet Union,28.0,181.0,78.0,Silver
3077,F,Norway,27.0,172.0,60.0,Gold
3077,F,Norway,31.0,172.0,60.0,Bronze
3093,M,Germany,26.0,193.0,92.0,Bronze
3099,F,Germany,25.0,180.0,72.0,Silver
3102,M,Italy,18.0,177.0,70.0,Bronze
3108,F,Switzerland,19.0,165.0,64.0,Bronze
3118,F,Great Britain,17.0,,,Bronze
